Date,Open,High,Low,Close,Adj Close,Volume,log RO,log RH,log RL,log RC
8/15/2018,209.220001,210.740005,208.330002,210.240005,210.240005,28807600,-0.00448283,0.000854531,0.000336095,0.002333414
8/16/2018,211.75,213.809998,211.470001,213.320007,213.320007,28500400,0.012019999,0.014462591,0.014959779,0.014543659
8/17/2018,213.440002,217.949997,213.160004,217.580002,217.580002,35427000,0.007949439,0.019177904,0.007959927,0.01977319
8/20/2018,218.100006,219.179993,215.110001,215.460007,215.460007,30287700,0.021597929,0.005627613,0.009106454,-0.009791298
8/21/2018,216.800003,217.190002,214.029999,215.039993,215.039993,26159800,-0.005978417,-0.009120722,-0.005033342,-0.001951285
8/22/2018,214.100006,216.360001,213.839996,215.050003,215.050003,19018100,-0.01253206,-0.003828864,-0.000888134,4.65E-05
8/23/2018,214.649994,217.050003,214.600006,215.490005,215.490005,18883200,0.002565543,0.003184064,0.003547805,0.002043955
8/24/2018,216.600006,216.899994,215.110001,216.160004,216.160004,18476400,0.009043596,-0.000691365,0.002373672,0.003104365
8/27/2018,217.149994,218.740005,216.330002,217.940002,217.940002,20525100,0.002535969,0.008447443,0.005655499,0.008200912
8/28/2018,219.009995,220.539993,218.919998,219.699997,219.699997,22776800,0.008529037,0.00819522,0.011901328,0.008043161
8/29/2018,220.149994,223.490005,219.410004,222.979996,222.979996,27254800,0.005191737,0.01328764,0.002235787,0.014819098
8/30/2018,223.25,228.259995,222.399994,225.029999,225.029999,48793800,0.013983115,0.021118616,0.013535392,0.009151659
8/31/2018,226.509995,228.869995,226,227.630005,227.630005,43340100,0.014496852,0.002668827,0.016057464,0.011487804
9/4/2018,228.410004,229.179993,226.630005,228.360001,228.360001,27390100,0.008353205,0.001353556,0.002783755,0.00320181
9/5/2018,228.990005,229.669998,225.100006,226.869995,226.869995,33333000,0.002536079,0.002135797,-0.006773979,-0.006546191
9/6/2018,226.229996,227.350006,221.300003,223.100006,223.100006,34290000,-0.012126193,-0.010152781,-0.017025514,-0.016757016
9/7/2018,221.850006,225.369995,220.710007,221.300003,221.300003,37619800,-0.019550658,-0.008747233,-0.002669606,-0.008100868
9/10/2018,220.949997,221.850006,216.470001,218.330002,218.330002,39516500,-0.004065087,-0.015741969,-0.01939768,-0.013511572
9/11/2018,218.009995,224.300003,216.559998,223.850006,223.850006,35749000,-0.013395508,0.01098295,0.000415662,0.024968523
9/12/2018,224.940002,225,219.839996,221.070007,221.070007,49278700,0.031292799,0.003115947,0.015032355,-0.012496786
9/13/2018,223.520004,228.350006,222.570007,226.410004,226.410004,41706400,-0.006332795,0.014779164,0.012341699,0.023868108
9/14/2018,225.75,226.839996,222.520004,223.839996,223.839996,31999300,0.009927279,-0.00663466,-0.000224687,-0.01141604
9/17/2018,222.149994,222.949997,217.270004,217.880005,217.880005,37195100,-0.01607539,-0.017297388,-0.023876165,-0.026987018
9/18/2018,217.789993,221.850006,217.119995,218.240005,218.240005,31571700,-0.019821539,-0.004946013,-0.000690665,0.001650922
9/19/2018,218.5,219.619995,215.300003,218.369995,218.369995,27123800,0.003254751,-0.010102747,-0.008417755,0.000595451
9/20/2018,220.240005,222.279999,219.149994,220.029999,220.029999,26608800,0.007931869,0.012039087,0.017723981,0.007573047
9/21/2018,220.779999,221.360001,217.289993,217.660004,217.660004,96246700,0.002448843,-0.004147504,-0.008523565,-0.010829666
9/24/2018,216.820007,221.259995,216.630005,220.789993,220.789993,27693400,-0.018099178,-0.000451882,-0.003041982,0.014277761
9/25/2018,219.75,222.820007,219.699997,222.190002,222.190002,22962000,0.013422988,0.007025844,0.014072114,0.006320889
9/26/2018,221,223.75,219.759995,220.419998,220.419998,23984706,0.005672165,0.004165055,0.000273053,-0.007998073
